adm0_name,adm1_name,t,y_actual_thr,lb_y_actual_thr,ub_y_actual_thr,y_counter_thr,lb_counter_thr,ub_counter_thr,day_avg_thr
"IRN","Tehran",28feb2020,.5949388,.4749998,.7148778,.5949388,.4749998,.7148778,.7010527
"IRN","Tehran",29feb2020,.5949388,.4749998,.7148778,.5949388,.4749998,.7148778,.3431988
"IRN","Tehran",01mar2020,.4492468,.367393,.5311005,.5949388,.4749998,.7148778,.667686
"IRN","Tehran",05mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.0889473
"IRN","Tehran",06mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.0886564
"IRN","Tehran",07mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.1614752
"IRN","Tehran",08mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.2736793
"IRN","Tehran",09mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.1186829
"IRN","Tehran",10mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.1267138
"IRN","Tehran",11mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.1657529
"IRN","Tehran",12mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778,.1661816
"IRN","Tehran",13mar2020,.1424608,0,.3297485,.6643484,.4333518,.895345,.1424608
"IRN","Tehran",14mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.141551
"IRN","Tehran",15mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.091187
"IRN","Tehran",16mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.0671396
"IRN","Tehran",17mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.0849257
"IRN","Tehran",18mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.0615892
"IRN","Tehran",19mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.0376987
"IRN","Tehran",20mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.0577126
"IRN","Tehran",21mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.057456
"IRN","Tehran",22mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778,.0582008
