policy	lag	position	beta	lower_CI	upper_CI	L10_at	L10_b	L10_ll1	L10_ul1	L15_at	L15_b	L15_ll1	L15_ul1
"Social distance (optional)"	5	.5	.0115271	-.0495158	.0725699	0	.0465749	-.0234634	.1166132	-.5	.0401872	-.011491	.0918655
"Social distance (optional)"	4	.6	-.0086844	-.0621578	.0447891	0	.0465749	-.0234634	.1166132	-.5	.0401872	-.011491	.0918655
"Social distance (optional)"	3	.7	-.0310612	-.0728993	.010777	0	.0465749	-.0234634	.1166132	-.5	.0401872	-.011491	.0918655
"Social distance (optional)"	2	.8	-.063823	-.1092853	-.0183608	0	.0465749	-.0234634	.1166132	-.5	.0401872	-.011491	.0918655
"Social distance (optional)"	1	.9	-.0592558	-.1142586	-.004253	0	.0465749	-.0234634	.1166132	-.5	.0401872	-.011491	.0918655
"Social distance (optional)"	0	1	-.0831519	-.1588659	-.0074379	0	.0465749	-.0234634	.1166132	-.5	.0401872	-.011491	.0918655
"Social distance (mandatory)"	5	1.5	-.2880397	-.4363339	-.1397455	1	-.1849517	-.2962019	-.0737015	.5	-.1454528	-.2237727	-.0671329
"Social distance (mandatory)"	4	1.6	-.3127549	-.471692	-.1538178	1	-.1849517	-.2962019	-.0737015	.5	-.1454528	-.2237727	-.0671329
"Social distance (mandatory)"	3	1.7	-.3257091	-.4882545	-.1631636	1	-.1849517	-.2962019	-.0737015	.5	-.1454528	-.2237727	-.0671329
"Social distance (mandatory)"	2	1.8	-.3069629	-.4926436	-.1212822	1	-.1849517	-.2962019	-.0737015	.5	-.1454528	-.2237727	-.0671329
"Social distance (mandatory)"	1	1.9	-.3276156	-.5517595	-.1034716	1	-.1849517	-.2962019	-.0737015	.5	-.1454528	-.2237727	-.0671329
"Social distance (mandatory)"	0	2	-.3038246	-.6069323	-.0007168	1	-.1849517	-.2962019	-.0737015	.5	-.1454528	-.2237727	-.0671329
"Emergency declaration"	5	2.5	-.1184217	-.2013095	-.035534	2	-.1063509	-.1802298	-.0324719	1.5	-.0950978	-.161867	-.0283285
"Emergency declaration"	4	2.6	-.1204533	-.2035834	-.0373232	2	-.1063509	-.1802298	-.0324719	1.5	-.0950978	-.161867	-.0283285
"Emergency declaration"	3	2.7	-.1222434	-.2094307	-.0350562	2	-.1063509	-.1802298	-.0324719	1.5	-.0950978	-.161867	-.0283285
"Emergency declaration"	2	2.8	-.1218593	-.211532	-.0321866	2	-.1063509	-.1802298	-.0324719	1.5	-.0950978	-.161867	-.0283285
"Emergency declaration"	1	2.9	-.1254679	-.2181255	-.0328104	2	-.1063509	-.1802298	-.0324719	1.5	-.0950978	-.161867	-.0283285
"Emergency declaration"	0	3	-.1274557	-.2208805	-.0340309	2	-.1063509	-.1802298	-.0324719	1.5	-.0950978	-.161867	-.0283285
"Quarantine positive cases"	5	3.5	.0011743	-.0365198	.0388683	3	-.0725456	-.1554932	.0104019	2.5	-.0570853	-.2298735	.1157029
"Quarantine positive cases"	4	3.6	.021169	-.0165816	.0589196	3	-.0725456	-.1554932	.0104019	2.5	-.0570853	-.2298735	.1157029
"Quarantine positive cases"	3	3.7	.0232472	-.0113515	.057846	3	-.0725456	-.1554932	.0104019	2.5	-.0570853	-.2298735	.1157029
"Quarantine positive cases"	2	3.8	.0267194	-.0171895	.0706282	3	-.0725456	-.1554932	.0104019	2.5	-.0570853	-.2298735	.1157029
"Quarantine positive cases"	1	3.9	.0206467	-.0176025	.0588958	3	-.0725456	-.1554932	.0104019	2.5	-.0570853	-.2298735	.1157029
"Quarantine positive cases"	0	4	.02018	-.0181057	.0584658	3	-.0725456	-.1554932	.0104019	2.5	-.0570853	-.2298735	.1157029
