adm0_name,adm1_name,adm2_name,t,y_actual_wh,lb_y_actual_wh,ub_y_actual_wh,y_counter_wh,lb_counter_wh,ub_counter_wh,day_avg_wh
"CHN","Hubei","Wuhan",17jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548,.3813674
"CHN","Hubei","Wuhan",18jan2020,.8297229,.7027581,.9566877,.8297229,.7027581,.9566877,.8297229
"CHN","Hubei","Wuhan",19jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548,.5925035
"CHN","Hubei","Wuhan",20jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548,.2935472
"CHN","Hubei","Wuhan",21jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548,.3667121
"CHN","Hubei","Wuhan",22jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548,.1467419
"CHN","Hubei","Wuhan",23jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548,.1485105
"CHN","Hubei","Wuhan",25jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548,.1295552
"CHN","Hubei","Wuhan",26jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548,.0599213
"CHN","Hubei","Wuhan",27jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548,.1066728
"CHN","Hubei","Wuhan",28jan2020,.8996267,.7726619,1.026592,1.122635,.9742069,1.271062,.8996267
"CHN","Hubei","Wuhan",29jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548,.1808343
"CHN","Hubei","Wuhan",30jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548,.1735058
"CHN","Hubei","Wuhan",31jan2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548,.1344333
"CHN","Hubei","Wuhan",01feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548,.2047167
"CHN","Hubei","Wuhan",02feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548,.2404761
"CHN","Hubei","Wuhan",03feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548,.2256203
"CHN","Hubei","Wuhan",04feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548,.2151527
"CHN","Hubei","Wuhan",05feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548,.2783146
"CHN","Hubei","Wuhan",06feb2020,.1942883,.0673235,.3212531,.3340104,.1855828,.482438,.1942883
"CHN","Hubei","Wuhan",07feb2020,.1259953,.0526922,.1992985,.3561744,.299394,.4129548,.1362572
"CHN","Hubei","Wuhan",08feb2020,.1259953,.0526922,.1992985,.3561744,.299394,.4129548,.149828
"CHN","Hubei","Wuhan",09feb2020,.1259953,.0526922,.1992985,.3561744,.299394,.4129548,.0919008
"CHN","Hubei","Wuhan",10feb2020,.0838865,.0105833,.1571896,.3561744,.299394,.4129548,.1172552
"CHN","Hubei","Wuhan",11feb2020,.0838865,.0105833,.1571896,.3561744,.299394,.4129548,.0815277
"CHN","Hubei","Wuhan",12feb2020,.0838865,.0105833,.1571896,.3561744,.299394,.4129548,.0528765
"CHN","Hubei","Wuhan",15feb2020,.0504722,0,.1237754,.3561744,.299394,.4129548,.0583576
"CHN","Hubei","Wuhan",16feb2020,.0504722,0,.1237754,.3561744,.299394,.4129548,.0451892
"CHN","Hubei","Wuhan",17feb2020,.0504722,0,.1237754,.3561744,.299394,.4129548,.0478699
"CHN","Hubei","Wuhan",18feb2020,.0443778,0,.1341555,.3561744,.299394,.4129548,.0440335
"CHN","Hubei","Wuhan",19feb2020,.0443778,0,.1341555,.3561744,.299394,.4129548,.0447222
"CHN","Hubei","Wuhan",20feb2020,.0162376,0,.1432024,.3280342,.1624924,.493576,.0162376
"CHN","Hubei","Wuhan",21feb2020,.0107106,0,.074193,.3561744,.299394,.4129548,.0084293
"CHN","Hubei","Wuhan",22feb2020,.0107106,0,.074193,.3561744,.299394,.4129548,.0084
"CHN","Hubei","Wuhan",23feb2020,.0107106,0,.074193,.3561744,.299394,.4129548,.0147838
"CHN","Hubei","Wuhan",24feb2020,.0107106,0,.074193,.3561744,.299394,.4129548,.0112291
"CHN","Hubei","Wuhan",25feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548,.0130081
"CHN","Hubei","Wuhan",26feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548,.0106751
"CHN","Hubei","Wuhan",27feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548,.0114226
"CHN","Hubei","Wuhan",28feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548,.009706
"CHN","Hubei","Wuhan",29feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548,.013917
"CHN","Hubei","Wuhan",01mar2020,.0122052,0,.0601933,.3561744,.299394,.4129548,.0196508
"CHN","Hubei","Wuhan",02mar2020,.0122052,0,.0601933,.3561744,.299394,.4129548,.0070564
"CHN","Hubei","Wuhan",03mar2020,.0045208,0,.0942985,.3561744,.299394,.4129548,.0043125
"CHN","Hubei","Wuhan",04mar2020,.0045208,0,.0942985,.3561744,.299394,.4129548,.0047291
"CHN","Hubei","Wuhan",05mar2020,.0058566,0,.1328214,.3575102,.1919684,.523052,.0058566
