policy	lag	position	beta	lower_CI	upper_CI	L10_at	L10_b	L10_ll1	L10_ul1	L15_at	L15_b	L15_ll1	L15_ul1
"Travel ban (opt), work from home, school closure"	5	.5	-.3161529	-.3719711	-.2603347	0	-.2036081	-.2812721	-.1259442	-.5	-.2064308	-.3019962	-.1108654
"Travel ban (opt), work from home, school closure"	4	.6	-.3854219	-.4479136	-.3229302	0	-.2036081	-.2812721	-.1259442	-.5	-.2064308	-.3019962	-.1108654
"Travel ban (opt), work from home, school closure"	3	.7	-.3727408	-.4449499	-.3005317	0	-.2036081	-.2812721	-.1259442	-.5	-.2064308	-.3019962	-.1108654
"Travel ban (opt), work from home, school closure"	2	.8	-.3694116	-.4984754	-.2403478	0	-.2036081	-.2812721	-.1259442	-.5	-.2064308	-.3019962	-.1108654
"Travel ban (opt), work from home, school closure"	1	.9	-.3019469	-.4213557	-.1825381	0	-.2036081	-.2812721	-.1259442	-.5	-.2064308	-.3019962	-.1108654
"Travel ban (opt), work from home, school closure"	0	1	-.2852881	-.4493179	-.1212583	0	-.2036081	-.2812721	-.1259442	-.5	-.2064308	-.3019962	-.1108654
"Home isolation"	5	1.5	-.0740108	-.1101785	-.0378432								
"Home isolation"	4	1.6	-.0780511	-.1049218	-.0511804								
"Home isolation"	3	1.7	-.1011102	-.1400517	-.0621686								
"Home isolation"	2	1.8	-.1157478	-.1590777	-.0724179								
"Home isolation"	1	1.9	-.1391206	-.202968	-.0752732								
"Home isolation"	0	2	-.1507055	-.2193363	-.0820748								
